"MATERIAL","Unidad de medida",27,28,29,30,"porcentaje","tipo"
"Pinzas para matraz","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Pinzas para tubo de ensayo","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Piseta de polietileno de 250 mL.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Plumones indelebles","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"material"
"Propipeta de 2 vías","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Soporte Universal","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"material"
"Soquets para focos de 6V","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Tapones de hule de diferentes tamaños","piezas","4 x equipo de trabajo","4 x equipo de trabajo","4 x equipo de trabajo","4 x equipo de trabajo",20,"material"
"Tapones de hule para tubo de ensayo","piezas","10 x equipo de trabajo","10 x equipo de trabajo","10 x equipo de trabajo","10 x equipo de trabajo",20,"material"
"Tela de  alambre con cerámica","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Trángulo de porcelana","piezas",,,,"1 x equipo de trabajo",20,"material"
"Agitador de vidrio","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Agitador magnético de 2cm. y 2cm.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Bureta  Mhor con llave de teflón de 50 mL.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Cápsula de porcelana (10 cm. de diámetro)","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"cristalería"
"Embudo de filtración de tallo corto","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Embudo de filtración de tallo largo","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Embudo de separación","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Frasco gotero de 25 mL.","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"cristalería"
"Matraz aforado de 100 mL.","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"cristalería"
"Matraz de destilación","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Matraz Erlenmeyer de 250 mL.","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"cristalería"
"Matraz Erlenmeyer de 500 mL.","piezas","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"cristalería"
"Matraz redondo de fondo plano de 500 cc.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Mortero de cerámica con pistilo","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Pipeta graduada 10 mL.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Pipeta graduada 1 mL.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Pipeta graduada 5 mL.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Pipeta volumétrica 1 mL.","piezas",,,,"1 x equipo de trabajo",20,"cristalería"
"Probetas de 100 mL.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Probetas de 50 mL.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Probetas de 500 mL.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Refrigerante de tubo simple (condensador)","piezas",,"1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Tubo de ensayo de 100 X 10","piezas","10 x equipo de trabajo","10 x equipo de trabajo","10 x equipo de trabajo","10 x equipo de trabajo",20,"cristalería"
"Tubo de vidrio de 6 mm. ","piezas","10 x grupo","10 x grupo","10 x grupo","10 x grupo",20,"cristalería"
"Vaso de precipitado de 100 mL.","piezas","3 x equipo de trabajo","3 x equipo de trabajo","3 x equipo de trabajo","3 x equipo de trabajo",20,"cristalería"
"Vaso de precipitado de 250 mL.","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"cristalería"
"Vaso de precipotado de 25 mL.","piezas",,,,"3 x equipo de trabajo",20,"cristalería"
"Vaso de precipitado de 50 mL.","piezas","3 x equipo de trabajo","3 x equipo de trabajo","3 x equipo de trabajo","3 x equipo de trabajo",20,"cristalería"
"Vidrios de reloj de 10 cm. de diámetro","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"cristalería"
"Vidrios de reloj de 5 cm. de diámetro","piezas",,,,"2 x equipo de trabajo",20,"cristalería"
"Balanzas granatarias con capacidad de 2000 g. y 0.1g","piezas","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"EQUIPO, INSTRUMENTOS Y APARATOS"
"Balanzas digitales con precisión de 0.01 g.","piezas","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"EQUIPO, INSTRUMENTOS Y APARATOS"
"Parrilla de calentamiento con agitador magnético","piezas","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"EQUIPO, INSTRUMENTOS Y APARATOS"
"Termómetro científico (–10° a 150°C)","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"EQUIPO, INSTRUMENTOS Y APARATOS"
"Lentes de seguridad","piezas","1 x alumno","1 x alumno","1 x alumno","1 x alumno",20,"EQUIPO DE PROTECCIÓN PERSONAL"
"Guantes de Asabesto","pares",,,,"1 x equipo de trabajo",20,"EQUIPO DE PROTECCIÓN PERSONAL"
"Guantes de Carnaza","pares","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"EQUIPO DE PROTECCIÓN PERSONAL"
"Guantes de Nitrilo desechales","cajas","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"EQUIPO DE PROTECCIÓN PERSONAL"
"Kit para absorción de derrames químicos (se arma de acuerdo a las cantidades y tipo de sustancias con las que se trabaja)","piezas","1 x grupo","1 x grupo","1 x grupo",,20,"EQUIPO DE PROTECCIÓN PERSONAL"
"Mascarillas con filtros o con carbón activado ","piezas","1 x alumno","1 x alumno","1 x alumno","1 x alumno",20,"EQUIPO DE PROTECCIÓN PERSONAL"
"Acetaldehído","gramos",,"500 x grupo","500 x grupo",,20,"SUSTANCIAS"
"Aceite de ricino o coco","mililitros",,"500 x grupo","500 x grupo",,20,"SUSTANCIAS"
"Acetato de calcio","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Acetona","litros",,"1 x grupo","1 x grupo",,20,"SUSTANCIAS"
"Ácido acético","litros","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Ácido bórico","gramos","100 x grupo","100 x grupo","100 x grupo","500 x grupo",20,"SUSTANCIAS"
"Ácido cítrico","gramos","100 x grupo","100 x grupo","100 x grupo",,20,"SUSTANCIAS"
"Ácido clorhídrico","litros","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Ácido fórmico","mililitros",,"500 x grupo","500 x grupo",,20,"SUSTANCIAS"
"Ácido nítrico","litros","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Ácido oxálico","gramos",,"100 x grupo","100 x grupo",,20,"SUSTANCIAS"
"Ácido sulfúrico","litros","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Agua destilada","litros","20 x grupo","20 x grupo","20 x grupo","20 x grupo",20,"SUSTANCIAS"
"Almidón","gramos",,"250 x grupo","250 x grupo",,20,"SUSTANCIAS"
"Anaranjado de metilo","gramos",,"10 x grupo","10 x grupo",,20,"SUSTANCIAS"
"Aluminio en granalla","gramos","200 x grupo",,,"200 x grupo",20,"SUSTANCIAS"
"Azufre","gramos","250 x grupo","250 x grupo","250 x grupo","250 x grupo",20,"SUSTANCIAS"
"Bicarbonato de sodio","gramos","250 x grupo","250 x grupo","250 x grupo","250 x grupo",20,"SUSTANCIAS"
"Bióxido de manganeso","gramos","250 x grupo","250 x grupo","250 x grupo","250 x grupo",20,"SUSTANCIAS"
"Bromo (agua de bromo)","mililitros",,"100 x grupo","100 x grupo",,20,"SUSTANCIAS"
"Cal sodada (CaONaOH)","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Carbonato de calcio","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Carbonato de sodio","gramos",,"100 x grupo","100 x grupo",,20,"SUSTANCIAS"
"Carburo de calcio","gramos",,"100 x grupo","100 x grupo",,20,"SUSTANCIAS"
"Cinta de magnesio","gramos","50 x grupo",,,,20,"SUSTANCIAS"
"Cloruro de calcio","gramos","250 x grupo",,,"250 x grupo",20,"SUSTANCIAS"
"Cloruro de cobalto hexahidratado","gramos","100 x grupo",,,"100 x grupo",20,"SUSTANCIAS"
"Cloruro férrico","gramos","100 x grupo",,,"100 x grupo",20,"SUSTANCIAS"
"Cloruro sodio","gramos","500 x grupo","500 x grupo","500 x grupo","500 x grupo",20,"SUSTANCIAS"
"Cobre en laminillas o varillas para electrodo","gramos",,"200 x grupo","200 x grupo","200 x grupo",20,"SUSTANCIAS"
"Cobre en viruta o granalla","gramos","200 x grupo",,,"200 x grupo",20,"SUSTANCIAS"
"Dicromato de amonio","gramos","100 x grupo",,,"100 x grupo",20,"SUSTANCIAS"
"Dietilamina","mililitros",,"100 x grupo","100 x grupo",,20,"SUSTANCIAS"
"Disulfuro de carbono","mililitros","500 x grupo",,,"500 x grupo",20,"SUSTANCIAS"
"Etanol ","litros","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Etilenglicol","litros",,"1 x grupo","1 x grupo",,20,"SUSTANCIAS"
"Fenol","mililitros",,"500 x grupo","500 x grupo",,20,"SUSTANCIAS"
"Fenoftaleína","gramos","10 x grupo","10 x grupo","10 x grupo","10 x grupo",20,"SUSTANCIAS"
"Formaldehído","litros",,"1 x grupo","1 x grupo",,20,"SUSTANCIAS"
"Glucosa","gramos",,"500 x grupo","500 x grupo",,20,"SUSTANCIAS"
"Hexano ","litros",,"1 x grupo","1 x grupo",,20,"SUSTANCIAS"
"Hidróxido de amonio","litros","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Hidróxido de calcio","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Hidróxido de potasio","gramos","250 x grupo","250 x grupo","250 x grupo","250 x grupo",20,"SUSTANCIAS"
"Hidróxido de sodio","gramos","250 x grupo","250 x grupo","250 x grupo","250 x grupo",20,"SUSTANCIAS"
"Hipoclorito de sodio","mililitros","250 x grupo",,,"1000 x grupo",20,"SUSTANCIAS"
"Isopropanol ","mililitros",,"500 x grupo","500 x grupo",,20,"SUSTANCIAS"
"Lanolina ","gramos",,"100 x grupo","100 x grupo",,20,"SUSTANCIAS"
"Levadura","gramos",,"100 x grupo","100 x grupo",,20,"SUSTANCIAS"
"Limadura de hierro","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Nitrato de amonio","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Nitrato de cobre","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Nitrato de plata","gramos","50 x grupo","50 x grupo","50 x grupo","50 x grupo",20,"SUSTANCIAS"
"Nitrato de zinc","gramos","50 x grupo","50 x grupo","50 x grupo","50 x grupo",20,"SUSTANCIAS"
"Óxido de cobre (polvo)","gramos","100 x grupo",,,"100 x grupo",20,"SUSTANCIAS"
"Permanganato de potasio","gramos","50 x grupo","50 x grupo","50 x grupo","50 x grupo",20,"SUSTANCIAS"
"Peróxido de hidrógeno (industrial)","litros","1 x grupo",,,"1 x grupo",20,"SUSTANCIAS"
"Sal de mesa","gramos",,"500 x grupo","500 x grupo",,20,"SUSTANCIAS"
"Sal de grano","gramos",,"500 x grupo","500 x grupo",,20,"SUSTANCIAS"
"Sulfato de amonio","gramos","100 x grupo",,,"100 x grupo",20,"SUSTANCIAS"
"Sulfato de calcio","gramos","100 x grupo",,,"100 x grupo",20,"SUSTANCIAS"
"Sulfato de cobre II pentahidratado","gramos","100 x grupo",,,"100 x grupo",20,"SUSTANCIAS"
"Sulfato de sodio","gramos","100 x grupo",,,"100 x grupo",20,"SUSTANCIAS"
"Sulfato de zinc","gramos","100 x grupo",,,"100 x grupo",20,"SUSTANCIAS"
"Trietanolamina","mililitros",,"500 x grupo","500 x grupo",,20,"SUSTANCIAS"
"Yodo","gramos","50 x grupo",,,"50 x grupo",20,"SUSTANCIAS"
"Yoduro de potasio","gramos","100 x grupo",,,"100 x grupo",20,"SUSTANCIAS"
"Zinc en granalla o viruta","gramos","200 x grupo",,,"200 x grupo",20,"SUSTANCIAS"
"Zinc en láminas o varillas para electrodo","gramos",,"200 x grupo","200 x grupo",,20,"SUSTANCIAS"
